Co15-CH4_021.xyz	109.4807	2.0075	3.2362	2.4735	121.8494	6	2.3787	52.8743	4
Co15-CH4_022.xyz	109.483	1.9787	3.184	2.4302	120.67	6	2.3824	53.4131	4
Co15-CH4_023.xyz	109.4795	1.9681	3.2005	2.3921	126.2583	4	2.342	54.6023	4
Co15-CH4_024.xyz	109.4806	2.0075	3.2353	2.4759	121.5142	6	2.3785	52.7664	4
Co15-CH4_025.xyz	109.4796	1.9737	3.2105	2.4068	125.7919	4	2.3416	54.2092	4
Co15-CH4_026.xyz	109.4801	1.9732	3.1993	2.4003	125.195	4	2.3419	54.4876	4
Co15-CH4_027.xyz	109.4826	1.9507	3.0877	2.319	121.6705	4	2.31	57.0286	4
Co15-CH4_028.xyz	109.4812	2.0229	3.2186	2.4435	122.8808	5	2.364	55.0482	4
Co15-CH4_029.xyz	109.4798	1.9716	3.2075	2.4016	126.0087	4	2.3418	54.3445	4
Co15-CH4_030.xyz	109.4811	2.0231	3.2129	2.4386	122.7691	5	2.3637	55.2822	4
Ni15-CH3_001.xyz	109.9609	2.4884	2.5082	1.9125	120.0525	4	2.3759	108.27	3
Ni15-CH3_002.xyz	109.7698	2.4822	2.5479	1.9184	122.5364	5	2.4152	107.4369	3
Ni15-CH3_003.xyz	109.9613	2.4959	2.5047	1.9149	119.5724	4	2.3558	108.6981	3
Ni15-CH3_004.xyz	109.7769	2.4803	2.5467	1.9185	122.3214	5	2.4151	107.2938	3
Ni15-CH3_005.xyz	107.3974	2.3436	2.7504	1.9432	129.485	5	2.3882	96.5819	3
Ni15-CH3_006.xyz	109.9675	2.4897	2.5053	1.9133	119.7571	4	2.3773	108.3172	3
Ni15-CH3_007.xyz	109.9692	2.4897	2.5066	1.9132	119.8795	4	2.3763	108.3284	3
Ni15-CH3_008.xyz	109.9616	2.4633	2.5168	1.9145	119.3208	4	2.3558	106.3139	3
Ni15-CH3_009.xyz	109.9809	2.4884	2.5101	1.9132	120.1732	4	2.3761	108.2386	3
Ni15-CH3_010.xyz	106.037	1.8481	2.862	2.0896	122.1627	4	2.3343	61.8005	3
Ni15-CH3_011.xyz	107.3747	2.344	2.7505	1.943	129.4925	5	2.3884	96.6157	3
Ni15-CH3_012.xyz	109.9724	2.475	2.5125	1.9147	119.3876	4	2.3564	107.1462	3
Ni15-CH3_013.xyz	109.9684	2.4882	2.5142	1.9129	120.5624	4	2.3766	108.2325	3
Ni15-CH3_014.xyz	106.5304	1.8555	2.8944	2.0589	128.2403	5	2.3828	63.4914	3
Ni15-CH3_015.xyz	106.5469	1.8553	2.8949	2.0594	128.2494	5	2.3828	63.4605	3
Ni15-CH3_016.xyz	109.9874	2.4885	2.5082	1.9131	120.0044	4	2.3764	108.2468	3
Ni15-CH3_017.xyz	109.769	2.4828	2.5476	1.9186	122.4958	5	2.4154	107.466	3
Ni15-CH3_018.xyz	109.7659	2.4823	2.5473	1.9185	122.4759	5	2.4154	107.4375	3
Ni15-CH3_019.xyz	109.97	2.4901	2.5099	1.9132	120.2168	4	2.377	108.3536	3
Ni15-CH3_020.xyz	109.9748	2.4898	2.5071	1.9134	119.9218	4	2.3772	108.3221	3
Ni15-CH3_021.xyz	109.9593	2.4558	2.5212	1.9147	119.3766	4	2.3561	105.7582	3
Ni15-CH3_022.xyz	107.9214	1.9159	2.8953	2.1274	120.6748	9	2.4584	63.699	3
Ni15-CH3_023.xyz	106.5361	1.8542	2.8921	2.0577	128.1265	5	2.3825	63.4768	3
Ni15-CH3_024.xyz	109.7781	2.4777	2.547	1.9185	122.2243	5	2.4146	107.1131	3
Ni15-CH3_025.xyz	109.959	2.4648	2.5165	1.9145	119.3304	4	2.3561	106.4184	3
Ni15-CH3_026.xyz	106.0266	1.8475	2.8618	2.0882	122.3147	4	2.3343	61.8334	3
Ni15-CH3_027.xyz	109.7653	2.4754	2.5482	1.9181	122.3016	5	2.4152	106.9625	3
Ni15-CH3_028.xyz	106.5377	1.8536	2.8928	2.059	128.0812	5	2.3829	63.3894	3
Ni15-CH3_029.xyz	109.9852	2.4878	2.5052	1.9131	119.6814	4	2.3761	108.1986	3
Ni15-CH3_030.xyz	106.3457	1.8437	2.8618	2.0327	127.6938	4	2.3487	63.9789	3
